target	observed_reversal	null_mean	null_sd	empirical_p	percentile	n_null	z	global_percentile
RICTOR	0.1313935402946904	0.0036126159206371	0.0631783894073434	0.0398009950248756	96.5	200	2.022541656612741	97.94372294372296
PAK2	-0.0307638686771945	0.0001122529483638	0.0648807115509242	0.6716417910447762	33.0	200	-0.4758906135196142	41.34199134199134
RIPK1	-0.0292647645669094	0.0011315036355898	0.0642396148064255	0.6716417910447762	33.0	200	-0.4731701504452203	42.2077922077922
