target	guide	n_aligned	reversal_pearson	pearson_p	reversal_spearman	frac_reversed
RICTOR	RICTOR-1	10832	0.1409652082404923	3.4027747407765718e-49	0.0609798028985974	0.5034004352557128
RICTOR	RICTOR-2	10832	0.1780716064895498	7.137083866927899e-78	0.122844590157797	0.5423474178403755
