track	reversal	source_artifact	source_artifact_sha256	source_run_commit	analysis_scope	reproducibility_level
adjusted-vector sensitivity	0.146713	rictor_rescue/sensitivity_oldvector.tsv#RICTOR:old_covariate_adjusted:reversal_pearson	6e792cc7959da83dbb42fb4783ec69a4a583575d31fb0b11ef1a176e3fadbcc5	6c0515d30613f6ccf52d4cf5b9e39c3a61236e09	same-cohort covariate-adjusted disease-vector sensitivity; not independent validation	Level 3 (server-scale); not recomputed at Level 1
responder-only mean	0.054211	rictor_rescue/responder_only_strata.tsv#mean(RICTOR:reversal_pearson,15_strata)	6b6b3b0b2f8e236901134918fad192f863c5c8a33c90392375c9b820f48e4b15	6c0515d30613f6ccf52d4cf5b9e39c3a61236e09	same-cohort responder-only strata mean; not independent validation	Level 3 (server-scale); not recomputed at Level 1
