row_label	measurable_cellular_effect	responder_support	guide_concordance	perturbation_donor_robustness	disease_directionality	disease_donor_lodo	matched_null_support	confound_resistance	systemic_safety	human_genetic_efficacy	loss_constraint	selective_modality	biological_decision	translational_decision
RICTOR	PASS	PASS	PASS	PASS	PASS	PASS	BORDERLINE	PASS	CELL_TYPE_CONFLICT	NO_SUPPORT	SAFETY_HEADWIND	NONE_VALIDATED	RETAIN	STOP
PAK2	PASS	PASS	PASS	PASS	FAIL	NOT_EVALUATED	FAIL	FAIL	PASS	NOT_ESTABLISHED	NOT_EVALUATED	NOT_ESTABLISHED	REJECT	NOT_EVALUATED
RIPK1	PASS	NOT_EVALUATED	BORDERLINE	NOT_EVALUATED	FAIL	NOT_EVALUATED	FAIL	NOT_EVALUATED	FAIL	PASS	NOT_EVALUATED	PASS	COMPARATOR	NOT_EVALUATED
broad / essential hubs (aggregate)	PASS	NOT_EVALUATED	PASS	PASS	BORDERLINE	NOT_EVALUATED	NOT_EVALUATED	FAIL	FAIL	NOT_EVALUATED	NOT_EVALUATED	NOT_ESTABLISHED	SAFETY_CONSTRAINED	NOT_EVALUATED
immune-directional TFs, no modality (aggregate)	PASS	NOT_EVALUATED	PASS	PASS	PASS	NOT_EVALUATED	NOT_EVALUATED	BORDERLINE	BORDERLINE	PASS	NOT_EVALUATED	FAIL	EXPLORATORY_NO_MODALITY	NOT_EVALUATED
