removed	n_removed	n_aligned	reversal_pearson	pearson_p	reversal_spearman	delta_vs_base
none	0	10832	0.1605626914415677	1.7965289941223158e-63	0.099972461941934	0.0
cell_cycle	23	10817	0.1616981946553684	2.8477212685305464e-64	0.1014496378233444	0.0011355032138007
activation	23	10811	0.1617866683732568	2.6297865104106123e-64	0.100628789489377	0.0012239769316891
stress	12	10820	0.1604608993938399	2.5223108103971905e-63	0.0994212500696067	-0.0001017920477277
apoptosis	12	10820	0.1609141392494812	1.1203233308776684e-63	0.1004515601764347	0.0003514478079135
tcell_identity	19	10813	0.1601952025324768	4.442086871192754e-63	0.099466838738126	-0.0003674889090908
broad_downregulation	780	10321	0.0928261231945046	3.398451999552081e-21	0.0714268255533426	-0.067736568247063
cellcycle+activation+broaddown	817	10291	0.0967007240817705	8.228553748159443e-23	0.074279487907725	-0.0638619673597971
