metric	mean_delta_ko_minus_ntc	worst_stratum	frac_strata_consistent	direction
apoptosis	0.029869853047339	0.0754103804447916	0.3333333333333333	up_bad
stress	-0.004784420758142032	0.0211117017007849	0.6666666666666666	up_bad
total_counts	-524.9679226345486	-3103.7041015625	0.3333333333333333	down_bad
n_genes_by_counts	-29.531329304691894	-451.97800000000007	0.2222222222222222	down_bad
pct_counts_mt	-0.023916650977399603	0.054412692785263	0.3333333333333333	up_bad
tcell_identity	0.0009913951016691537	-0.0257839835888533	0.1111111111111111	down_bad
treg_identity	-0.0016420334499041666	-0.0528662400499233	0.6666666666666666	down_bad
proliferation	-0.01070893351123071	-0.0908636403637679	0.5555555555555556	down_bad
activation	-0.03588569348250384	-0.0863378891443323	0.1111111111111111	down_bad
