	target	guide	responder	donor	condition	n
RICTOR|RICTOR-1|KO|D4|Rest	RICTOR	RICTOR-1	KO	D4	Rest	28
RICTOR|RICTOR-1|KO|D4|Stim8hr	RICTOR	RICTOR-1	KO	D4	Stim8hr	26
RICTOR|RICTOR-2|KO|D1|Rest	RICTOR	RICTOR-2	KO	D1	Rest	131
RICTOR|RICTOR-2|KO|D1|Stim48hr	RICTOR	RICTOR-2	KO	D1	Stim48hr	150
RICTOR|RICTOR-2|KO|D1|Stim8hr	RICTOR	RICTOR-2	KO	D1	Stim8hr	115
RICTOR|RICTOR-2|KO|D2|Rest	RICTOR	RICTOR-2	KO	D2	Rest	96
RICTOR|RICTOR-2|KO|D2|Stim8hr	RICTOR	RICTOR-2	KO	D2	Stim8hr	40
RICTOR|RICTOR-2|KO|D3|Rest	RICTOR	RICTOR-2	KO	D3	Rest	88
RICTOR|RICTOR-2|KO|D3|Stim48hr	RICTOR	RICTOR-2	KO	D3	Stim48hr	44
RICTOR|RICTOR-2|KO|D3|Stim8hr	RICTOR	RICTOR-2	KO	D3	Stim8hr	73
RICTOR|RICTOR-2|KO|D4|Rest	RICTOR	RICTOR-2	KO	D4	Rest	27
RICTOR|RICTOR-2|KO|D4|Stim48hr	RICTOR	RICTOR-2	KO	D4	Stim48hr	27
RICTOR|RICTOR-2|NP|D1|Stim48hr	RICTOR	RICTOR-2	NP	D1	Stim48hr	35
RICTOR|RICTOR-2|NP|D3|Rest	RICTOR	RICTOR-2	NP	D3	Rest	198
RICTOR|RICTOR-2|NP|D3|Stim48hr	RICTOR	RICTOR-2	NP	D3	Stim48hr	52
RICTOR|RICTOR-2|NP|D3|Stim8hr	RICTOR	RICTOR-2	NP	D3	Stim8hr	108
RIPK1|ALL|KO|D1|Rest	RIPK1	ALL	KO	D1	Rest	39
RIPK1|ALL|KO|D1|Stim48hr	RIPK1	ALL	KO	D1	Stim48hr	53
RIPK1|ALL|KO|D1|Stim8hr	RIPK1	ALL	KO	D1	Stim8hr	35
RIPK1|ALL|KO|D3|Stim48hr	RIPK1	ALL	KO	D3	Stim48hr	30
RIPK1|ALL|KO|D4|Stim48hr	RIPK1	ALL	KO	D4	Stim48hr	31
RIPK1|ALL|NP|D1|Rest	RIPK1	ALL	NP	D1	Rest	72
RIPK1|ALL|NP|D1|Stim48hr	RIPK1	ALL	NP	D1	Stim48hr	70
RIPK1|ALL|NP|D1|Stim8hr	RIPK1	ALL	NP	D1	Stim8hr	46
RIPK1|ALL|NP|D2|Rest	RIPK1	ALL	NP	D2	Rest	67
RIPK1|ALL|NP|D2|Stim8hr	RIPK1	ALL	NP	D2	Stim8hr	66
RIPK1|ALL|NP|D3|Rest	RIPK1	ALL	NP	D3	Rest	32
RIPK1|ALL|NP|D3|Stim48hr	RIPK1	ALL	NP	D3	Stim48hr	39
RIPK1|ALL|NP|D3|Stim8hr	RIPK1	ALL	NP	D3	Stim8hr	30
RIPK1|ALL|NP|D4|Rest	RIPK1	ALL	NP	D4	Rest	58
RIPK1|ALL|NP|D4|Stim48hr	RIPK1	ALL	NP	D4	Stim48hr	75
RIPK1|ALL|NP|D4|Stim8hr	RIPK1	ALL	NP	D4	Stim8hr	60
RIPK1|RIPK1-1|KO|D1|Stim48hr	RIPK1	RIPK1-1	KO	D1	Stim48hr	44
RIPK1|RIPK1-1|NP|D1|Rest	RIPK1	RIPK1-1	NP	D1	Rest	25
RIPK1|RIPK1-1|NP|D1|Stim48hr	RIPK1	RIPK1-1	NP	D1	Stim48hr	58
RIPK1|RIPK1-1|NP|D1|Stim8hr	RIPK1	RIPK1-1	NP	D1	Stim8hr	28
RIPK1|RIPK1-1|NP|D2|Rest	RIPK1	RIPK1-1	NP	D2	Rest	26
RIPK1|RIPK1-1|NP|D2|Stim8hr	RIPK1	RIPK1-1	NP	D2	Stim8hr	37
RIPK1|RIPK1-1|NP|D4|Rest	RIPK1	RIPK1-1	NP	D4	Rest	49
RIPK1|RIPK1-1|NP|D4|Stim48hr	RIPK1	RIPK1-1	NP	D4	Stim48hr	63
RIPK1|RIPK1-1|NP|D4|Stim8hr	RIPK1	RIPK1-1	NP	D4	Stim8hr	47
RIPK1|RIPK1-2|KO|D1|Rest	RIPK1	RIPK1-2	KO	D1	Rest	25
