row_label	measurable_cellular_effect	responder_support	guide_concordance	perturbation_donor_robustness	disease_directionality	disease_donor_lodo	matched_null_support	confound_resistance	safety_essentiality	human_genetic_direction	credible_modality	final_public_decision
RICTOR	PASS	PASS	PASS	PASS	PASS	PASS	BORDERLINE	PASS	BORDERLINE	NOT_EVALUATED	TRANSLATIONAL_GAP	RETAINED_MECHANISM_NODE
PAK2	PASS	PASS	PASS	PASS	FAIL	NOT_EVALUATED	FAIL	FAIL	PASS	NOT_ESTABLISHED	NOT_ESTABLISHED	REJECTED
RIPK1	PASS	NOT_EVALUATED	BORDERLINE	NOT_EVALUATED	FAIL	NOT_EVALUATED	FAIL	NOT_EVALUATED	FAIL	PASS	PASS	COMPARATOR_ONLY
broad / essential hubs (aggregate)	PASS	NOT_EVALUATED	PASS	PASS	BORDERLINE	NOT_EVALUATED	NOT_EVALUATED	FAIL	FAIL	NOT_EVALUATED	NOT_ESTABLISHED	SAFETY_CONSTRAINED
immune-directional TFs, no modality (aggregate)	PASS	NOT_EVALUATED	PASS	PASS	PASS	NOT_EVALUATED	NOT_EVALUATED	BORDERLINE	BORDERLINE	PASS	FAIL	EXPLORATORY_NO_MODALITY
